symbol,company_name,float,price,volume,percent_change,dollar_volume,day_range,timestamp,trades,avg_volume_5d,avg_range_5d,volume_surge_detected,volume_surge_ratio
GEG,Great Elm Group,9448070,2.45,10229,0,25061.05,0.0499999999999998,2025-11-12T00:00:00-05:00,,12194.6,0.0738600000000001,False,
PYPD,PolyPid,9449226,3.75,102793,-0.265957446808505,385473.75,0.18,2025-11-12T00:00:00-05:00,,74034.8,0.15598,False,
ASYS,Amtech Systems,9457665,7.59,99697,-2.06451612903226,756700.23,0.4199,2025-11-12T00:00:00-05:00,,161672.8,0.46696,False,
DLTH,Duluth Holdings,9545366,3.07,38361,8.86524822695036,117768.27,0.32,2025-11-12T00:00:00-05:00,,35272.6,0.1939,False,
LGCY,Legacy Education,9549141,8.97,65219,2.2805017103763,585014.43,0.459999999999999,2025-11-12T00:00:00-05:00,,59264.2,0.44646,False,
KMDA,Kamada,9549865,7.28,85175,3.11614730878188,620074,0.119899999999999,2025-11-12T00:00:00-05:00,,85643.6,0.18098,False,
SNCR,Synchronoss Technologies,9563261,5.35,162322,-3.77697841726619,868422.7,0.338900000000001,2025-11-12T00:00:00-05:00,,142485.2,0.46576,False,
JYNT,The Joint,9569516,8.35,513734,2.45398773006134,4289678.9,0.51,2025-11-12T00:00:00-05:00,,181964.6,0.49916,False,
AVTX,Avalo Therapeutics,9588336,15.43,301655,-0.451612903225808,4654536.65,1.015,2025-11-12T00:00:00-05:00,,457387.8,1.283,False,
FEAM,5E Advanced Materials,9619526,4.58,55818,-0.650759219088942,255646.44,0.3,2025-11-12T00:00:00-05:00,,131624.2,0.50198,False,
STHO,Star Holdings Shares of Beneficial Interest,9660134,7.77,49971,0.778210116731512,388274.67,0.329899999999999,2025-11-12T00:00:00-05:00,,62076.8,0.35498,False,
SSTI,SoundThinking,9736828,8.43,102429,1.44404332129963,863476.47,0.469000000000001,2025-11-12T00:00:00-05:00,,103486.2,0.45784,False,
TECX,Tectonic Therapeutic,9745941,18.86,522945,-0.632244467860911,9862742.7,1.2199,2025-11-12T00:00:00-05:00,,598299.8,2.09666,False,
