symbol,timestamp,last_price,ema_spread_pct,price_category,macd_histogram,market_session,squeeze_number_today,minutes_since_last_squeeze,window_volume_vs_1min_avg,distance_from_vwap_percent,day_gain,spy_percent_change_concurrent,spread_percent
AMCI,2025-12-15T12:15:50.058266-05:00,7.1888,-3.0603160471845183,$5-10,0.0305,mid_day,143,4.15,87.1,0.69,141.8918918918919,-0.61,0.5564210994880932
NTCL,2025-12-15T12:16:14.818369-05:00,0.8599,-2.325851843237588,<$2,-0.0044,mid_day,38,0.92,2.23,2.03,25.26064938933571,-0.18,2.314222584021401
MASK,2025-12-15T11:07:37.430405-05:00,0.5358,0.0,<$2,0.0007,mid_day,31,1.14,148.85,2.4,74.02726970402392,-0.26,0.2799552071668639
MASK,2025-12-15T09:51:55.019890-05:00,0.524,5.7251908396946405,<$2,0.007,early,1,,1858.46,-15.88,108.48021283671432,-0.03,0.6679389312977
RADX,2025-12-15T10:56:28.798423-05:00,11.88,3.1144781144781075,$10-20,0.2243,early,87,0.7,561.85,1.76,164.3192488262911,,2.1885521885522015
NTCL,2025-12-15T11:40:44.596400-05:00,0.9513,2.102386208346475,<$2,0.0033,mid_day,29,1.99,39.79,-1.93,42.984807864164424,-0.06,3.237674760853562
AMCI,2025-12-15T10:30:22.654361-05:00,7.57,,$5-10,,early,50,0.5,1094.54,3.41,152.02702702702703,-0.7,0.39630118890356997
RADX,2025-12-15T09:58:15.538435-05:00,10.42,,$10-20,,early,43,6.09,2.0,-0.51,145.77464788732397,,1.247600767754309
ARTV,2025-12-15T10:50:41.573367-05:00,5.1,1.372549019607849,$5-10,0.0064,early,20,0.55,259.48,3.96,48.7848484848485,-0.09,0.7843137254901967
BDRX,2025-12-15T09:07:04.278889-05:00,5.58,-0.17921146953404637,$5-10,,extended,4,4.11,2.91,1.45,15.789473684210526,0.13,2.3297491039426506
NTCL,2025-12-15T11:58:58.417549-05:00,0.8801,-2.2724690376093646,<$2,-0.0084,mid_day,35,1.09,1.19,3.48,27.271373249925535,-0.1,1.6020906715146006
GLSI,2025-12-15T09:49:51.761013-05:00,12.7,-1.8110236220472338,$10-20,-0.0514,early,23,1.02,16.61,0.93,17.14818266542404,-0.19,3.8582677165354213
ARTV,2025-12-15T10:14:20.230698-05:00,4.22,-2.606635071090034,$2-5,-0.0151,early,7,7.1,42.3,1.4,26.063636363636366,-0.18,1.1848341232227657
YCBD,2025-12-15T10:31:18.399430-05:00,1.64,1.2195121951219523,<$2,-0.0031,early,28,5.94,333.79,3.44,40.0701754385965,-0.71,0.6097560975609762
AMCI,2025-12-15T11:40:22.262597-05:00,8.79,4.436860068259382,$5-10,0.1136,mid_day,116,0.65,951.18,5.01,194.2567567567568,-0.53,1.0238907849829335
HYFM,2025-12-15T09:49:32.165332-05:00,2.3994,2.9173960156705774,$2-5,,early,3,0.59,1.65,-1.33,15.94202898550725,-0.23,4.584479453196627
AMCI,2025-12-15T08:25:25.687360-05:00,5.32,-0.37593984962406046,$5-10,-0.0008,extended,1,,14.66,44.96,23.986486486486484,0.04,0.1879699248120344
RADX,2025-12-15T11:51:25.478608-05:00,10.53,0.47483380816714826,$10-20,0.0346,mid_day,110,9.45,20.26,-1.37,148.97417840375587,,2.6590693257359863
AMCI,2025-12-15T11:22:42.964854-05:00,7.09,-0.14104372355429884,$5-10,0.0203,mid_day,98,0.69,246.15,3.75,130.40540540540542,-0.33,0.7052186177715067
NTCL,2025-12-15T11:01:17.685959-05:00,0.936,-2.136752136752127,<$2,0.0023,mid_day,6,0.55,4.36,2.58,36.639857015192135,-0.07,2.1367521367521385
AMCI,2025-12-15T12:36:42.071453-05:00,7.34,0.27247956403270385,$5-10,-0.0245,mid_day,149,3.25,367.03,0.92,145.27027027027026,-0.6,0.5449591280653956
RADX,2025-12-15T08:32:52.444746-05:00,14.939,1.606533235156292,$10-20,-0.0576,extended,13,0.76,429.15,-1.95,244.60093896713616,,0.8702055023763238
AMCI,2025-12-15T10:07:47.007566-05:00,5.56,5.575539568345317,$5-10,,early,24,5.74,2627.58,-2.58,112.83783783783782,-0.33,0.8992805755395652
RADX,2025-12-15T10:06:52.109300-05:00,11.5666,,$10-20,,early,55,0.67,498.18,-0.41,177.58215962441315,,2.334307402348137
RADX,2025-12-15T11:31:18.450365-05:00,10.31,-3.6857419980601263,$10-20,-0.074,mid_day,105,4.93,179.56,-0.73,144.1830985915493,,2.0368574199806098
YCBD,2025-12-15T10:21:02.963005-05:00,1.5899,1.8869111264859442,<$2,-0.0069,early,26,1.23,298.56,1.79,35.97368421052633,-0.56,0.6289703754953146
IMG,2025-12-15T09:10:08.454233-05:00,1.9598,-5.6128176344525,<$2,-0.0003,extended,2,2.11,109.83,1.65,19.13580246913579,0.02,0.510256148586591
AMCI,2025-12-15T10:16:05.061851-05:00,6.85,,$5-10,,early,30,0.6,847.16,0.47,139.86486486486484,-0.56,1.0218978102189822
ARTV,2025-12-15T11:38:56.309873-05:00,5.01,-0.7984031936127752,$5-10,-0.0049,mid_day,35,8.43,233.29,-2.33,55.42424242424242,-0.27,0.3992015968063787
MASK,2025-12-15T12:36:05.434296-05:00,0.4387,-4.558924093913841,<$2,0.0013,mid_day,47,0.83,106.43,2.27,40.87130029930161,-0.42,1.3448826077045728
NTCL,2025-12-15T11:38:00.388091-05:00,0.9946,2.010858636637846,<$2,0.0074,mid_day,27,0.87,43.6,1.9,44.80190646410485,-0.11,2.2823245525839586
YCBD,2025-12-15T10:17:55.791331-05:00,1.52,3.2894736842105288,<$2,0.0026,early,24,0.51,518.95,-2.87,34.21052631578949,-0.57,0.6578947368421059
BDRX,2025-12-15T09:55:48.943473-05:00,5.51,-1.4519056261343026,$5-10,-0.0215,early,18,6.64,48.96,2.82,12.736842105263166,-0.26,2.3593466424682377
MASK,2025-12-15T10:01:41.671217-05:00,0.5734,1.7439832577607075,<$2,0.0006,early,10,1.75,331.39,-1.76,95.44396408380445,-0.17,1.7265434251831024
MASK,2025-12-15T11:20:46.761371-05:00,0.5484,1.8234865061998558,<$2,-0.0003,mid_day,34,1.87,187.16,2.78,76.4881942135018,-0.11,0.5835156819839498
MASK,2025-12-15T10:19:11.926675-05:00,0.5019,-3.9848575413429,<$2,-0.0022,early,19,2.08,193.43,1.49,65.84635849684068,-0.37,0.4781829049611503
AMCI,2025-12-15T10:37:16.354051-05:00,7.4585,1.8770530267480132,$5-10,-0.0089,early,58,0.56,589.03,3.43,135.13513513513513,-0.63,0.6703760809814282
FEBO,2025-12-15T10:19:26.551527-05:00,1.02,,<$2,,early,11,0.95,20.86,1.03,18.6046511627907,-0.09,1.960784313725492
NTCL,2025-12-15T11:00:44.749587-05:00,0.9209,-2.1717884678032258,<$2,0.0016,mid_day,5,0.55,18.69,2.03,32.55883229073578,-0.08,3.2468237593658293
MASK,2025-12-15T09:56:35.530655-05:00,0.5731,1.74489617867737,<$2,-0.003,early,5,0.65,377.39,1.18,92.98303957432657,-0.1,1.1167335543535284
RADX,2025-12-15T10:35:48.344717-05:00,9.4,-4.787234042553184,$5-10,-0.149,early,73,0.94,242.27,2.41,115.72769953051643,,1.8085106382978715
RYM,2025-12-15T11:31:01.451549-05:00,25.5,-0.23529411764705382,$20-40,-0.0272,mid_day,8,2.49,1.4,0.43,12.245800176834658,-0.33,4.7843137254901915
AMCI,2025-12-15T09:48:51.310951-05:00,4.05,1.7283950617283912,$2-5,-0.01,early,20,6.77,383.83,3.73,32.432432432432435,-0.19,0.49382716049381664
GLSI,2025-12-15T09:32:02.510160-05:00,13.51,-0.5921539600296082,$10-20,0.0232,early,8,0.5,86.22,-0.15,26.421248835041926,0.08,1.7024426350851254
GLSI,2025-12-15T11:32:08.370877-05:00,12.2,0.08196721311476692,$10-20,-0.0049,mid_day,31,12.17,49.94,1.56,12.301957129543338,-0.38,3.114754098360648
RADX,2025-12-15T10:05:37.643800-05:00,11.45,,$10-20,,early,53,0.51,470.15,2.48,163.0,,0.8733624454148596
YCBD,2025-12-15T10:57:54.805968-05:00,1.53,-0.6535947712418306,<$2,-0.0019,early,32,4.58,108.14,-1.15,35.08771929824563,-0.63,1.3071895424836613
NTCL,2025-12-15T12:29:11.783370-05:00,0.88,0.0,<$2,0.001,mid_day,39,12.95,10.29,2.16,28.328865058087583,-0.15,3.386363636363642
KYTX,2025-12-15T09:22:41.570984-05:00,12.8,1.1718750000000027,$10-20,0.0457,extended,18,1.46,318.8,1.72,44.21753986332575,0.11,0.7812499999999972
RADX,2025-12-15T10:08:09.880537-05:00,11.64,,$10-20,,early,57,0.7,334.52,1.37,166.90140845070422,,1.1168384879725153
RADX,2025-12-15T08:32:06.722588-05:00,14.91,1.6096579476861061,$10-20,-0.0576,extended,12,1.84,758.81,-2.14,244.60093896713616,,1.6096579476861181
RADX,2025-12-15T09:39:51.722145-05:00,15.62,-1.4724711907810528,$10-20,-0.0381,early,38,5.34,441.0,10.71,247.4178403755869,,1.7925736235595464
RADX,2025-12-15T08:35:59.020101-05:00,14.6,-0.3424657534246624,$10-20,-0.1739,extended,16,0.8,200.16,0.09,236.0422535211268,,1.0273972602739752
