timestamp,symbol,high,low,close,volume,vwap,trade_count
2025-07-14 10:21:00,MGRM,5.655,5.58,5.655,934,5.6325,10
2025-07-14 10:22:00,MGRM,5.65,5.61,5.65,443,5.636667,7
2025-07-14 10:23:00,MGRM,5.7,5.66,5.7,200,5.68,2
2025-07-14 10:24:00,MGRM,5.73,5.66,5.73,1074,5.684151,12
2025-07-14 10:25:00,MGRM,5.78,5.75,5.75,288,5.765,4
2025-07-14 10:26:00,MGRM,5.68,5.66,5.68,200,5.67,2
2025-07-14 10:27:00,MGRM,5.68,5.67,5.67,333,5.675,5
2025-07-14 10:29:00,MGRM,5.65,5.65,5.65,185,5.65,3
2025-07-14 10:34:00,MGRM,5.65,5.65,5.65,602,5.65,5
2025-07-14 10:43:00,MGRM,5.91,5.9,5.91,200,5.905,2
2025-07-14 10:45:00,MGRM,5.97,5.97,5.97,100,5.97,1
2025-07-14 10:46:00,MGRM,5.95,5.95,5.95,100,5.95,1
2025-07-14 10:47:00,MGRM,5.93,5.93,5.93,100,5.93,1
2025-07-14 10:50:00,MGRM,5.79,5.78,5.78,201,5.785,3
2025-07-14 10:56:00,MGRM,5.92,5.9,5.92,467,5.913576,4
2025-07-14 10:57:00,MGRM,5.89,5.89,5.89,167,5.89,1
2025-07-14 11:04:00,MGRM,5.91,5.91,5.91,200,5.91,2
2025-07-14 11:06:00,MGRM,5.87,5.85,5.87,200,5.86,2
2025-07-14 11:08:00,MGRM,5.88,5.865,5.88,200,5.8725,2
2025-07-14 11:09:00,MGRM,5.92,5.91,5.92,200,5.915,2
2025-07-14 11:11:00,MGRM,5.9,5.9,5.9,167,5.9,3
2025-07-14 11:15:00,MGRM,5.87,5.61,5.65,1510,5.702,15
2025-07-14 11:18:00,MGRM,5.7,5.7,5.7,500,5.7,5
2025-07-14 11:19:00,MGRM,5.7,5.7,5.7,300,5.7,3
2025-07-14 11:20:00,MGRM,5.7,5.7,5.7,449,5.7,2
2025-07-14 11:22:00,MGRM,5.71,5.71,5.71,300,5.71,2
2025-07-14 11:23:00,MGRM,5.71,5.71,5.71,500,5.71,2
2025-07-14 11:25:00,MGRM,5.7,5.68,5.7,200,5.69,2
2025-07-14 11:26:00,MGRM,5.69,5.69,5.69,100,5.69,1
2025-07-14 11:29:00,MGRM,5.7,5.69,5.7,300,5.693333,3
2025-07-14 11:31:00,MGRM,5.69,5.69,5.69,100,5.69,1
2025-07-14 11:34:00,MGRM,5.69,5.69,5.69,100,5.69,1
2025-07-14 11:39:00,MGRM,5.65,5.65,5.65,137,5.65,2
2025-07-14 11:40:00,MGRM,5.69,5.69,5.69,100,5.69,1
2025-07-14 11:41:00,MGRM,5.7,5.7,5.7,200,5.7,2
2025-07-14 11:45:00,MGRM,5.71,5.7,5.71,300,5.703333,3
2025-07-14 11:46:00,MGRM,5.73,5.73,5.73,100,5.73,1
2025-07-14 11:48:00,MGRM,5.7,5.7,5.7,200,5.7,2
2025-07-14 11:50:00,MGRM,5.7,5.7,5.7,100,5.7,1
2025-07-14 11:51:00,MGRM,5.7,5.7,5.7,300,5.7,3
2025-07-14 11:56:00,MGRM,5.85,5.8,5.83,400,5.8275,4
2025-07-14 12:00:00,MGRM,5.8,5.8,5.8,100,5.8,1
2025-07-14 12:01:00,MGRM,5.8,5.8,5.8,101,5.8,2
2025-07-14 12:02:00,MGRM,5.76,5.76,5.76,200,5.76,3
2025-07-14 12:08:00,MGRM,5.7,5.7,5.7,200,5.7,2
2025-07-14 12:09:00,MGRM,5.7,5.7,5.7,100,5.7,1
2025-07-14 12:11:00,MGRM,5.69,5.69,5.69,100,5.69,1
2025-07-14 12:13:00,MGRM,5.68,5.66,5.67,300,5.67,3
2025-07-14 12:15:00,MGRM,5.67,5.63,5.67,600,5.641667,6
2025-07-14 12:16:00,MGRM,5.72,5.695,5.72,600,5.703333,5
2025-07-14 12:17:00,MGRM,5.73,5.73,5.73,200,5.73,2
2025-07-14 12:19:00,MGRM,5.69,5.69,5.69,144,5.69,3
2025-07-14 12:20:00,MGRM,5.71,5.71,5.71,100,5.71,1
2025-07-14 12:21:00,MGRM,5.71,5.7,5.71,300,5.705,3
2025-07-14 12:24:00,MGRM,5.74,5.74,5.74,100,5.74,1
2025-07-14 12:29:00,MGRM,5.7,5.7,5.7,100,5.7,1
2025-07-14 12:44:00,MGRM,5.7,5.69,5.7,400,5.6975,4
2025-07-14 12:50:00,MGRM,5.7,5.7,5.7,199,5.7,2
2025-07-14 12:52:00,MGRM,5.71,5.71,5.71,197,5.71,2
2025-07-14 12:55:00,MGRM,5.7,5.7,5.7,100,5.7,1
2025-07-14 12:59:00,MGRM,5.7,5.7,5.7,500,5.7,3
2025-07-14 13:00:00,MGRM,5.7,5.7,5.7,170,5.7,1
2025-07-14 13:04:00,MGRM,5.68,5.68,5.68,100,5.68,1
2025-07-14 13:13:00,MGRM,5.74,5.74,5.74,262,5.74,3
2025-07-14 13:15:00,MGRM,5.77,5.77,5.77,130,5.77,2
2025-07-14 13:20:00,MGRM,5.8,5.8,5.8,100,5.8,1
2025-07-14 13:23:00,MGRM,5.81,5.81,5.81,139,5.81,2
2025-07-14 13:27:00,MGRM,5.79,5.79,5.79,100,5.79,1
2025-07-14 13:32:00,MGRM,5.83,5.83,5.83,100,5.83,1
2025-07-14 13:38:00,MGRM,5.76,5.76,5.76,100,5.76,1
2025-07-14 13:40:00,MGRM,5.76,5.76,5.76,100,5.76,1
2025-07-14 13:45:00,MGRM,5.79,5.79,5.79,100,5.79,1
2025-07-14 13:51:00,MGRM,5.77,5.77,5.77,100,5.77,1
2025-07-14 14:03:00,MGRM,5.77,5.77,5.77,100,5.77,1
2025-07-14 14:21:00,MGRM,5.71,5.71,5.71,109,5.71,2
2025-07-14 14:27:00,MGRM,5.75,5.75,5.75,100,5.75,1
2025-07-14 14:34:00,MGRM,5.75,5.73,5.75,300,5.736667,3
2025-07-14 14:35:00,MGRM,5.75,5.75,5.75,100,5.75,1
2025-07-14 14:43:00,MGRM,5.72,5.72,5.72,100,5.72,1
2025-07-14 14:44:00,MGRM,5.7,5.7,5.7,320,5.7,4
2025-07-14 14:52:00,MGRM,5.74,5.74,5.74,100,5.74,1
2025-07-14 14:56:00,MGRM,5.77,5.755,5.77,400,5.75875,2
2025-07-14 15:01:00,MGRM,5.78,5.78,5.78,100,5.78,1
2025-07-14 15:03:00,MGRM,5.77,5.77,5.77,100,5.77,1
2025-07-14 15:06:00,MGRM,5.77,5.77,5.77,117,5.77,3
2025-07-14 15:08:00,MGRM,5.76,5.76,5.76,100,5.76,1
2025-07-14 15:10:00,MGRM,5.78,5.76,5.78,200,5.77,2
2025-07-14 15:11:00,MGRM,5.77,5.76,5.76,400,5.7625,3
2025-07-14 15:15:00,MGRM,5.73,5.73,5.73,100,5.73,1
2025-07-14 15:18:00,MGRM,5.745,5.745,5.745,200,5.745,1
2025-07-14 15:19:00,MGRM,5.73,5.71,5.71,200,5.72,2
2025-07-14 15:28:00,MGRM,5.72,5.72,5.72,100,5.72,1
2025-07-14 15:29:00,MGRM,5.75,5.75,5.75,100,5.75,1
2025-07-14 15:35:00,MGRM,5.75,5.75,5.75,100,5.75,1
2025-07-14 15:45:00,MGRM,5.77,5.77,5.77,330,5.77,4
2025-07-14 15:47:00,MGRM,5.75,5.75,5.75,277,5.75,3
2025-07-14 15:48:00,MGRM,5.76,5.76,5.76,100,5.76,1
2025-07-14 15:49:00,MGRM,5.755,5.755,5.755,100,5.755,1
2025-07-14 15:50:00,MGRM,5.76,5.76,5.76,100,5.76,1
2025-07-14 15:51:00,MGRM,5.76,5.75,5.76,1000,5.756,6
2025-07-14 15:52:00,MGRM,5.76,5.76,5.76,100,5.76,1
2025-07-14 15:53:00,MGRM,5.795,5.79,5.795,200,5.7925,2
2025-07-14 15:57:00,MGRM,5.76,5.76,5.76,100,5.76,1
2025-07-14 15:58:00,MGRM,5.765,5.75,5.75,910,5.76,8
2025-07-14 15:59:00,MGRM,5.83,5.83,5.83,395,5.83,5
